2026-06-04T03:55:45.851957 | ID:153 | fall | 检测到人员摔倒
2026-06-04T03:55:45.852056 | ID:154 | fall | 检测到人员摔倒
2026-06-04T03:55:45.852153 | ID:155 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854351 | ID:156 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854572 | ID:157 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854633 | ID:158 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854680 | ID:159 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860028 | ID:160 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860246 | ID:161 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860377 | ID:162 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860425 | ID:163 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860470 | ID:164 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860511 | ID:165 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860552 | ID:166 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860590 | ID:167 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860631 | ID:168 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860673 | ID:169 | fall | 检测到人员摔倒
2026-06-04T03:55:58.896264 | ID:170 | fall | 检测到人员摔倒
2026-06-04T03:55:58.896502 | ID:171 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897035 | ID:172 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897472 | ID:173 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897659 | ID:174 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897809 | ID:175 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897941 | ID:176 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898068 | ID:177 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898196 | ID:178 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898320 | ID:179 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898445 | ID:180 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898563 | ID:181 | fall | 检测到人员摔倒
2026-06-04T03:56:00.920222 | ID:182 | fall | 检测到人员摔倒
2026-06-04T03:56:00.920430 | ID:183 | fall | 检测到人员摔倒
2026-06-04T03:56:09.954432 | ID:184 | fall | 检测到人员摔倒
2026-06-04T03:56:09.954664 | ID:185 | fall | 检测到人员摔倒
2026-06-04T03:56:10.957009 | ID:186 | fall | 检测到人员摔倒
2026-06-04T03:56:10.957697 | ID:187 | fall | 检测到人员摔倒
2026-06-04T03:56:12.960568 | ID:188 | fall | 检测到人员摔倒
2026-06-04T03:56:12.960804 | ID:189 | fall | 检测到人员摔倒
2026-06-04T03:56:12.960882 | ID:190 | fall | 检测到人员摔倒
2026-06-04T03:56:12.960959 | ID:191 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961018 | ID:192 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961070 | ID:193 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961122 | ID:194 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961171 | ID:195 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961222 | ID:196 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961276 | ID:197 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961336 | ID:198 | fall | 检测到人员摔倒
2026-06-04T03:56:12.961388 | ID:199 | fall | 检测到人员摔倒
2026-06-04T03:56:13.986329 | ID:200 | fall | 检测到人员摔倒
2026-06-04T03:56:13.986541 | ID:201 | fall | 检测到人员摔倒
2026-06-04T03:56:22.040849 | ID:202 | fall | 检测到人员摔倒
2026-06-04T03:56:22.041181 | ID:203 | fall | 检测到人员摔倒
2026-06-04T03:56:22.041282 | ID:204 | fall | 检测到人员摔倒
2026-06-04T03:56:22.041364 | ID:205 | fall | 检测到人员摔倒
2026-06-04T03:56:22.041435 | ID:206 | fall | 检测到人员摔倒
2026-06-04T03:56:22.041505 | ID:207 | fall | 检测到人员摔倒
2026-06-04T03:56:24.042811 | ID:208 | fall | 检测到人员摔倒
2026-06-04T03:56:24.043027 | ID:209 | fall | 检测到人员摔倒
2026-06-04T03:56:24.043086 | ID:210 | fall | 检测到人员摔倒
2026-06-04T03:56:24.043144 | ID:211 | fall | 检测到人员摔倒
2026-06-04T03:56:25.053777 | ID:212 | fall | 检测到人员摔倒
2026-06-04T03:56:25.053986 | ID:213 | fall | 检测到人员摔倒
2026-06-04T03:56:25.054046 | ID:214 | fall | 检测到人员摔倒
2026-06-04T03:56:25.054098 | ID:215 | fall | 检测到人员摔倒
2026-06-04T03:56:25.054139 | ID:216 | fall | 检测到人员摔倒
2026-06-04T03:56:25.054178 | ID:217 | fall | 检测到人员摔倒
2026-06-04T03:56:26.054691 | ID:218 | fall | 检测到人员摔倒
2026-06-04T03:56:26.054900 | ID:219 | fall | 检测到人员摔倒
2026-06-04T03:56:26.054961 | ID:220 | fall | 检测到人员摔倒
2026-06-04T03:56:26.055010 | ID:221 | fall | 检测到人员摔倒
2026-06-04T03:56:36.085375 | ID:222 | fall | 检测到人员摔倒
2026-06-04T03:56:36.085828 | ID:223 | fall | 检测到人员摔倒
