2026-06-10T02:53:53.883954 | ID:51 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:53:53.884009 | ID:52 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:06.927824 | ID:53 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:07.929151 | ID:54 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:07.929364 | ID:55 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:07.929420 | ID:56 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:18.951141 | ID:57 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:19.951921 | ID:58 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:19.952360 | ID:59 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:19.952549 | ID:60 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:29.967751 | ID:61 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:30.968960 | ID:62 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:30.969435 | ID:63 | fire_exit | ⚠ 消防通道占用
2026-06-10T02:54:30.969620 | ID:64 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:06:25.855573 | ID:65 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:06:25.856341 | ID:66 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:06:26.857406 | ID:67 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:06:26.857597 | ID:68 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:31:39.608950 | ID:69 | fire_exit_parking | ⚠ 消防通道停车
2026-06-10T10:31:48.641204 | ID:70 | fire_exit_parking | ⚠ 消防通道停车
2026-06-10T10:31:54.651265 | ID:71 | fire_exit_parking | ⚠ 消防通道停车
2026-06-10T10:32:01.658513 | ID:72 | fire_exit_parking | ⚠ 消防通道停车
2026-06-10T10:32:06.709338 | ID:73 | fire_exit_parking | ⚠ 消防通道停车
2026-06-10T10:32:19.160448 | ID:74 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:32:20.162574 | ID:75 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:32:20.162784 | ID:76 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:32:20.162849 | ID:77 | fire_exit | ⚠ 消防通道占用
2026-06-10T10:58:44.489875 | ID:78 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T10:59:23.544851 | ID:79 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:00:04.647021 | ID:80 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:00:41.730636 | ID:81 | fall | 检测到人员摔倒 (分数: 0.70)
